,Symbol,Code,Name,BeginDate,EndDate,Type,Exchange,MinTick,Multiplier,begindate,enddate
336,S.CN.SSE.600000,600000,浦发银行,1999-11-10,2200-01-01,STOCK,,,,1999-11-10,2200-01-01
337,S.CN.SSE.600001,600001,邯郸钢铁,1998-01-22,2009-12-29,STOCK,,,,1998-01-22,2009-12-29
338,S.CN.SSE.600002,600002,齐鲁石化,1998-04-08,2006-04-24,STOCK,,,,1998-04-08,2006-04-24
340,S.CN.SSE.600004,600004,白云机场,2003-04-28,2200-01-01,STOCK,,,,2003-04-28,2200-01-01
341,S.CN.SSE.600005,600005,武钢股份,1999-08-03,2017-02-14,STOCK,,,,1999-08-03,2017-02-14
342,S.CN.SSE.600006,600006,东风汽车,1999-07-27,2200-01-01,STOCK,,,,1999-07-27,2200-01-01
343,S.CN.SSE.600007,600007,中国国贸,1999-03-12,2200-01-01,STOCK,,,,1999-03-12,2200-01-01
344,S.CN.SSE.600008,600008,首创环保,2000-04-27,2200-01-01,STOCK,,,,2000-04-27,2200-01-01
345,S.CN.SSE.600009,600009,上海机场,1998-02-18,2200-01-01,STOCK,,,,1998-02-18,2200-01-01
346,S.CN.SSE.600010,600010,包钢股份,2001-03-09,2200-01-01,STOCK,,,,2001-03-09,2200-01-01
347,S.CN.SSE.600011,600011,华能国际,2001-12-06,2200-01-01,STOCK,,,,2001-12-06,2200-01-01
348,S.CN.SSE.600012,600012,皖通高速,2003-01-07,2200-01-01,STOCK,,,,2003-01-07,2200-01-01
349,S.CN.SSE.600015,600015,华夏银行,2003-09-12,2200-01-01,STOCK,,,,2003-09-12,2200-01-01
350,S.CN.SSE.600016,600016,民生银行,2000-12-19,2200-01-01,STOCK,,,,2000-12-19,2200-01-01
351,S.CN.SSE.600017,600017,日照港,2006-10-17,2200-01-01,STOCK,,,,2006-10-17,2200-01-01
352,S.CN.SSE.600018,600018,上港集团,2006-10-26,2200-01-01,STOCK,,,,2006-10-26,2200-01-01
353,S.CN.SSE.600019,600019,宝钢股份,2000-12-12,2200-01-01,STOCK,,,,2000-12-12,2200-01-01
354,S.CN.SSE.600020,600020,中原高速,2003-08-08,2200-01-01,STOCK,,,,2003-08-08,2200-01-01
355,S.CN.SSE.600021,600021,上海电力,2003-10-29,2200-01-01,STOCK,,,,2003-10-29,2200-01-01
356,S.CN.SSE.600022,600022,山东钢铁,2004-06-29,2200-01-01,STOCK,,,,2004-06-29,2200-01-01
357,S.CN.SSE.600023,600023,浙能电力,2013-12-19,2200-01-01,STOCK,,,,2013-12-19,2200-01-01
358,S.CN.SSE.600025,600025,华能水电,2017-12-15,2200-01-01,STOCK,,,,2017-12-15,2200-01-01
359,S.CN.SSE.600026,600026,中远海能,2002-05-23,2200-01-01,STOCK,,,,2002-05-23,2200-01-01
360,S.CN.SSE.600027,600027,华电国际,2005-02-03,2200-01-01,STOCK,,,,2005-02-03,2200-01-01
361,S.CN.SSE.600028,600028,中国石化,2001-08-08,2200-01-01,STOCK,,,,2001-08-08,2200-01-01
362,S.CN.SSE.600029,600029,南方航空,2003-07-25,2200-01-01,STOCK,,,,2003-07-25,2200-01-01
363,S.CN.SSE.600030,600030,中信证券,2003-01-06,2200-01-01,STOCK,,,,2003-01-06,2200-01-01
364,S.CN.SSE.600031,600031,三一重工,2003-07-03,2200-01-01,STOCK,,,,2003-07-03,2200-01-01
365,S.CN.SSE.600032,600032,浙江新能,2021-05-25,2200-01-01,STOCK,,,,2021-05-25,2200-01-01
366,S.CN.SSE.600033,600033,福建高速,2001-02-09,2200-01-01,STOCK,,,,2001-02-09,2200-01-01
367,S.CN.SSE.600035,600035,楚天高速,2004-03-10,2200-01-01,STOCK,,,,2004-03-10,2200-01-01
368,S.CN.SSE.600036,600036,招商银行,2002-04-09,2200-01-01,STOCK,,,,2002-04-09,2200-01-01
369,S.CN.SSE.600037,600037,歌华有线,2001-02-08,2200-01-01,STOCK,,,,2001-02-08,2200-01-01
370,S.CN.SSE.600038,600038,中直股份,2000-12-18,2200-01-01,STOCK,,,,2000-12-18,2200-01-01
371,S.CN.SSE.600039,600039,四川路桥,2003-03-25,2200-01-01,STOCK,,,,2003-03-25,2200-01-01
372,S.CN.SSE.600048,600048,保利发展,2006-07-31,2200-01-01,STOCK,,,,2006-07-31,2200-01-01
373,S.CN.SSE.600050,600050,中国联通,2002-10-09,2200-01-01,STOCK,,,,2002-10-09,2200-01-01
374,S.CN.SSE.600051,600051,宁波联合,1997-04-10,2200-01-01,STOCK,,,,1997-04-10,2200-01-01
375,S.CN.SSE.600052,600052,东望时代,1997-04-15,2200-01-01,STOCK,,,,1997-04-15,2200-01-01
376,S.CN.SSE.600053,600053,九鼎投资,1997-04-18,2200-01-01,STOCK,,,,1997-04-18,2200-01-01
377,S.CN.SSE.600054,600054,黄山旅游,1997-05-06,2200-01-01,STOCK,,,,1997-05-06,2200-01-01
378,S.CN.SSE.600055,600055,万东医疗,1997-05-19,2200-01-01,STOCK,,,,1997-05-19,2200-01-01
379,S.CN.SSE.600056,600056,中国医药,1997-05-15,2200-01-01,STOCK,,,,1997-05-15,2200-01-01
380,S.CN.SSE.600057,600057,厦门象屿,1997-06-04,2200-01-01,STOCK,,,,1997-06-04,2200-01-01
381,S.CN.SSE.600058,600058,五矿发展,1997-05-28,2200-01-01,STOCK,,,,1997-05-28,2200-01-01
382,S.CN.SSE.600059,600059,古越龙山,1997-05-16,2200-01-01,STOCK,,,,1997-05-16,2200-01-01
383,S.CN.SSE.600060,600060,海信视像,1997-04-22,2200-01-01,STOCK,,,,1997-04-22,2200-01-01
384,S.CN.SSE.600061,600061,国投资本,1997-05-19,2200-01-01,STOCK,,,,1997-05-19,2200-01-01
385,S.CN.SSE.600062,600062,华润双鹤,1997-05-22,2200-01-01,STOCK,,,,1997-05-22,2200-01-01
386,S.CN.SSE.600063,600063,皖维高新,1997-05-28,2200-01-01,STOCK,,,,1997-05-28,2200-01-01
387,S.CN.SSE.600064,600064,南京高科,1997-05-06,2200-01-01,STOCK,,,,1997-05-06,2200-01-01
389,S.CN.SSE.600066,600066,宇通客车,1997-05-08,2200-01-01,STOCK,,,,1997-05-08,2200-01-01
390,S.CN.SSE.600067,600067,冠城大通,1997-05-08,2200-01-01,STOCK,,,,1997-05-08,2200-01-01
391,S.CN.SSE.600068,600068,葛洲坝,1997-05-26,2021-09-13,STOCK,,,,1997-05-26,2021-09-13
392,S.CN.SSE.600069,600069,退市银鸽,1997-04-30,2020-08-27,STOCK,,,,1997-04-30,2020-08-27
