,Open,Close,High,Low,Limit_Up,Limit_Down,Total_Turnover,Volume,Symbol,Clock,Factor,FactorPost,Pause
0,4508.93,4510.53,4542.71,4487.36,4933.78,4036.73,62671851458.0,5125673400.0,S.CN.SSE.000905,2010-01-04,0.0,0.0,False
1,4513.4,4557.48,4558.21,4480.19,4961.58,4059.47,68443129593.0,5704074500.0,S.CN.SSE.000905,2010-01-05,0.0,0.0,False
2,4553.37,4550.28,4595.1,4538.72,5013.22,4101.73,69618450892.0,5787597900.0,S.CN.SSE.000905,2010-01-06,0.0,0.0,False
3,4540.01,4459.15,4554.93,4436.77,5005.31,4095.25,68761437809.0,5787344000.0,S.CN.SSE.000905,2010-01-07,0.0,0.0,False
4,4439.21,4514.45,4514.72,4426.23,4905.07,4013.24,54897796700.0,4657364600.0,S.CN.SSE.000905,2010-01-08,0.0,0.0,False
5,4549.32,4542.95,4558.46,4502.99,4965.9,4063.01,70066392656.0,5708973200.0,S.CN.SSE.000905,2010-01-11,0.0,0.0,False
6,4535.3,4639.63,4640.35,4524.68,4997.24,4088.65,76271745524.0,6206168900.0,S.CN.SSE.000905,2010-01-12,0.0,0.0,False
7,4544.43,4591.02,4650.06,4526.84,5103.6,4175.67,83458600355.0,6789880700.0,S.CN.SSE.000905,2010-01-13,0.0,0.0,False
8,4598.4,4714.1,4714.87,4598.4,5050.13,4131.92,84561287696.0,6791848300.0,S.CN.SSE.000905,2010-01-14,0.0,0.0,False
9,4720.22,4747.65,4753.19,4712.62,5185.51,4242.69,73076043319.0,5851337200.0,S.CN.SSE.000905,2010-01-15,0.0,0.0,False
10,4744.32,4829.06,4829.36,4738.91,5222.41,4272.88,78211370140.0,6328435700.0,S.CN.SSE.000905,2010-01-18,0.0,0.0,False
11,4835.83,4830.02,4852.32,4791.99,5311.97,4346.16,80838046644.0,6615494400.0,S.CN.SSE.000905,2010-01-19,0.0,0.0,False
12,4830.42,4651.07,4831.7,4635.67,5313.02,4347.01,94323889250.0,7808653700.0,S.CN.SSE.000905,2010-01-20,0.0,0.0,False
13,4646.62,4667.21,4696.16,4611.76,5116.18,4185.97,61486439798.0,5093667600.0,S.CN.SSE.000905,2010-01-21,0.0,0.0,False
14,4613.19,4537.88,4633.39,4453.69,5133.93,4200.49,69988890425.0,6018718300.0,S.CN.SSE.000905,2010-01-22,0.0,0.0,False
15,4515.13,4481.16,4542.79,4477.19,4991.67,4084.09,49671090279.0,4139508300.0,S.CN.SSE.000905,2010-01-25,0.0,0.0,False
16,4467.52,4294.38,4492.65,4254.32,4929.28,4033.04,47467846100.0,4152028200.0,S.CN.SSE.000905,2010-01-26,0.0,0.0,False
17,4290.74,4267.11,4344.13,4229.52,4723.82,3864.94,37930581719.0,3292415200.0,S.CN.SSE.000905,2010-01-27,0.0,0.0,False
18,4266.06,4336.38,4340.41,4249.77,4693.82,3840.4,37413687580.0,3212733000.0,S.CN.SSE.000905,2010-01-28,0.0,0.0,False
19,4316.24,4374.65,4418.4,4298.65,4770.02,3902.74,46920870245.0,3988806500.0,S.CN.SSE.000905,2010-01-29,0.0,0.0,False
20,4366.49,4331.37,4372.57,4269.33,4812.11,3937.18,50119156209.0,4309502900.0,S.CN.SSE.000905,2010-02-01,0.0,0.0,False
21,4344.04,4301.77,4388.35,4296.88,4764.5,3898.23,45419432144.0,3853250500.0,S.CN.SSE.000905,2010-02-02,0.0,0.0,False
22,4299.97,4363.08,4363.67,4160.35,4731.94,3871.59,55363883385.0,4852667900.0,S.CN.SSE.000905,2010-02-03,0.0,0.0,False
23,4342.68,4408.44,4445.75,4316.81,4799.39,3926.77,60009178101.0,5187378200.0,S.CN.SSE.000905,2010-02-04,0.0,0.0,False
24,4312.55,4311.29,4382.34,4270.71,4849.29,3967.6,57329452739.0,4967040500.0,S.CN.SSE.000905,2010-02-05,0.0,0.0,False
25,4299.25,4310.89,4330.2,4279.66,4742.42,3880.16,36140917706.0,3194607600.0,S.CN.SSE.000905,2010-02-08,0.0,0.0,False
26,4300.32,4311.89,4334.34,4284.52,4741.98,3879.8,33051109745.0,2989657900.0,S.CN.SSE.000905,2010-02-09,0.0,0.0,False
27,4333.85,4366.25,4366.49,4326.02,4743.08,3880.7,30362057461.0,2589719600.0,S.CN.SSE.000905,2010-02-10,0.0,0.0,False
28,4367.72,4356.52,4385.2,4352.11,4802.88,3929.63,28560427556.0,2448541000.0,S.CN.SSE.000905,2010-02-11,0.0,0.0,False
29,4365.62,4416.22,4418.54,4365.48,4792.17,3920.87,29321018550.0,2451137900.0,S.CN.SSE.000905,2010-02-12,0.0,0.0,False
30,4412.55,4419.55,4457.22,4401.06,4857.84,3974.6,36942577664.0,3146942600.0,S.CN.SSE.000905,2010-02-22,0.0,0.0,False
31,4414.06,4459.15,4459.73,4352.44,4861.5,3977.59,44895645491.0,3884211000.0,S.CN.SSE.000905,2010-02-23,0.0,0.0,False
32,4438.4,4556.28,4556.72,4419.45,4905.07,4013.24,55266251401.0,4802456800.0,S.CN.SSE.000905,2010-02-24,0.0,0.0,False
33,4565.74,4629.97,4632.97,4564.02,5011.91,4100.65,65857348240.0,5551941000.0,S.CN.SSE.000905,2010-02-25,0.0,0.0,False
34,4618.64,4634.67,4656.93,4602.02,5092.96,4166.97,58905069146.0,4953052200.0,S.CN.SSE.000905,2010-02-26,0.0,0.0,False
35,4635.95,4686.27,4692.83,4635.95,5098.14,4171.2,63522641661.0,5386243700.0,S.CN.SSE.000905,2010-03-01,0.0,0.0,False
36,4692.61,4690.29,4705.16,4660.17,5154.89,4217.64,67693532034.0,5662886100.0,S.CN.SSE.000905,2010-03-02,0.0,0.0,False
37,4690.44,4758.43,4761.58,4680.31,5159.32,4221.26,76878302413.0,6357355100.0,S.CN.SSE.000905,2010-03-03,0.0,0.0,False
38,4763.64,4586.52,4780.02,4572.07,5234.28,4282.59,81551643706.0,6847070600.0,S.CN.SSE.000905,2010-03-04,0.0,0.0,False
39,4590.89,4604.59,4632.04,4550.1,5045.18,4127.87,58748521383.0,5237147600.0,S.CN.SSE.000905,2010-03-05,0.0,0.0,False
40,4618.86,4654.58,4665.06,4612.22,5065.04,4144.13,51555326555.0,4503946900.0,S.CN.SSE.000905,2010-03-08,0.0,0.0,False
41,4653.06,4660.13,4674.51,4607.86,5120.04,4189.12,54504639852.0,4721442900.0,S.CN.SSE.000905,2010-03-09,0.0,0.0,False
42,4659.5,4598.99,4674.06,4564.43,5126.14,4194.11,51947965691.0,4479955900.0,S.CN.SSE.000905,2010-03-10,0.0,0.0,False
43,4594.5,4562.87,4608.64,4519.03,5058.89,4139.09,43582882845.0,3756111800.0,S.CN.SSE.000905,2010-03-11,0.0,0.0,False
44,4561.61,4492.86,4576.0,4489.53,5019.16,4106.58,40963844068.0,3540021200.0,S.CN.SSE.000905,2010-03-12,0.0,0.0,False
45,4485.88,4454.76,4498.1,4426.19,4942.15,4043.57,35313782723.0,2992878000.0,S.CN.SSE.000905,2010-03-15,0.0,0.0,False
46,4453.81,4491.47,4492.04,4426.61,4900.24,4009.28,31934260836.0,2766447600.0,S.CN.SSE.000905,2010-03-16,0.0,0.0,False
47,4500.43,4616.05,4616.11,4500.26,4940.61,4042.32,52355111027.0,4436945300.0,S.CN.SSE.000905,2010-03-17,0.0,0.0,False
48,4628.0,4630.95,4653.68,4605.91,5077.66,4154.45,58490410433.0,4979134700.0,S.CN.SSE.000905,2010-03-18,0.0,0.0,False
